Drug1,Drug2,Cell line,ID,ZIP,Bliss,Loewe,HSA
METHOTREXATE,MK-8669,PA1,58442.5,1.0125,1.795,0.21499999999999986,1.7550000000000003
METHOTREXATE,MK-8669,RKO,60774.5,-4.745,-9.365,-10.2075,-7.3125
METHOTREXATE,MK-8669,RPMI7951,63066.5,-16.1025,-20.775,-14.305,-13.075
METHOTREXATE,MK-8669,SK-OV-3,70026.5,-2.6725,1.4675,-7.342499999999999,3.5075
METHOTREXATE,MK-8669,SKMEL30,65362.5,4.357500000000001,9.0175,3.1975000000000002,5.952500000000001
METHOTREXATE,MK-8669,SKMES1,67694.5,-3.3874999999999997,-7.164999999999999,-6.914999999999999,-4.635
METHOTREXATE,MK-8669,SW-620,72358.5,-2.9924999999999997,-5.185,-5.185,-1.6325
METHOTREXATE,MK-8669,SW837,74690.5,1.8825,2.85,4.859999999999999,6.130000000000001
METHOTREXATE,MK-8669,T-47D,76914.5,-3.665,-4.105,-2.7949999999999995,-0.3375
METHOTREXATE,MK-8669,UACC62,79126.5,-5.1049999999999995,-5.022500000000001,-5.202500000000001,-3.48
METHOTREXATE,MK-8669,UWB1289,81458.5,-5.8575,-8.68,-4.1675,-1.7999999999999998
METHOTREXATE,MK-8669,VCAP,86122.5,-4.5775,-9.865,-14.024999999999999,-9.5375
METHOTREXATE,MK-8776,A2058,1150.5,-1.46,-4.3175,-12.692499999999999,0.5425
METHOTREXATE,MK-8776,A2780,3470.5,2.9325,1.58,-1.245,2.185
METHOTREXATE,MK-8776,A375,5754.5,9.579999999999998,9.6175,7.55,12.8525
METHOTREXATE,MK-8776,A427,8050.5,-2.6375,-6.2075000000000005,-9.5475,-2.3675
METHOTREXATE,MK-8776,ES2,19626.5,4.6775,3.0275000000000003,-4.922499999999999,4.0075
METHOTREXATE,MK-8776,HCT116,21894.5,-4.7875,-10.8075,-11.6575,-9.73
METHOTREXATE,MK-8776,HT144,24186.5,-3.8175,-0.21999999999999997,-2.3725,0.86
METHOTREXATE,MK-8776,LNCAP,31074.5,-13.502499999999998,-17.725,-23.590000000000003,-10.71
METHOTREXATE,MK-8776,LOVO,33278.5,3.8175,1.85,-4.3925,2.0425
METHOTREXATE,MK-8776,MDAMB436,35610.5,-6.84,-7.737500000000001,-3.6025,3.0324999999999998
METHOTREXATE,MK-8776,MSTO,37726.5,5.965,2.58,-1.0500000000000003,4.095
METHOTREXATE,MK-8776,NCI-H460,46786.5,2.5275,0.5700000000000001,-2.09,1.8049999999999997
METHOTREXATE,MK-8776,NCIH1650,39970.5,-6.0025,-2.5050000000000003,-13.075,0.27249999999999996
METHOTREXATE,MK-8776,NCIH2122,42302.5,-0.04250000000000001,-1.6625,0.9575,4.0525
METHOTREXATE,MK-8776,NCIH23,44562.5,5.095000000000001,3.6425,-0.04999999999999993,5.9775
METHOTREXATE,MK-8776,NCIH520,49118.5,-1.53,-2.7350000000000003,-4.9525,-1.7625
METHOTREXATE,MK-8776,OCUBM,51450.5,-1.6774999999999998,-3.635,-9.425,-0.42999999999999994
METHOTREXATE,MK-8776,OV90,53782.5,-5.657500000000001,-4.5975,4.425,5.1425
METHOTREXATE,MK-8776,OVCAR3,56114.5,0.62,0.14750000000000008,0.25249999999999995,4.1674999999999995
METHOTREXATE,MK-8776,PA1,58446.5,-1.31,1.4325,-1.9675,1.3325
METHOTREXATE,MK-8776,RKO,60778.5,0.05999999999999994,-4.1175,-4.175,0.6050000000000001
METHOTREXATE,MK-8776,RPMI7951,63070.5,1.5925,-0.11750000000000002,1.3325,5.95
METHOTREXATE,MK-8776,SK-OV-3,70030.5,6.225,6.41,5.2775,6.3325
METHOTREXATE,MK-8776,SKMEL30,65366.5,2.22,0.97,-18.07,2.1399999999999997
METHOTREXATE,MK-8776,SKMES1,67698.5,-4.7,-8.0975,-5.5175,-1.5875
METHOTREXATE,MK-8776,SW-620,72362.5,0.6000000000000001,-2.14,-25.799999999999997,-2.06
METHOTREXATE,MK-8776,SW837,74694.5,-8.747499999999999,-8.805,-6.7325,-3.085
METHOTREXATE,MK-8776,T-47D,76918.5,-0.05249999999999999,-6.25,-54.0225,-10.479999999999999
METHOTREXATE,MK-8776,UACC62,79130.5,-3.395,-3.6050000000000004,-6.5249999999999995,-2.3825
METHOTREXATE,MK-8776,UWB1289,81462.5,-2.0725,-4.0075,-2.88,1.5025000000000002
METHOTREXATE,MK-8776,VCAP,86126.5,-10.780000000000001,-17.917499999999997,-17.2275,-14.9275
METHOTREXATE,PD325901,A2058,1154.5,-2.88,-6.465,-4.815,-3.585
METHOTREXATE,PD325901,A2780,3474.5,0.16749999999999998,-2.1825,-3.4825,-0.8074999999999999
METHOTREXATE,PD325901,A375,5758.5,-1.85,-2.7750000000000004,-2.45,2.2225
METHOTREXATE,PD325901,A427,8054.5,-3.165,-5.1775,-5.637499999999999,-1.2125000000000001
METHOTREXATE,PD325901,ES2,19630.5,-2.25,-4.0200000000000005,-5.999999999999999,-1.1999999999999997
METHOTREXATE,PD325901,HCT116,21898.5,-5.455,-10.1225,-9.83,-6.6625
METHOTREXATE,PD325901,HT144,24190.5,-1.205,-1.5474999999999999,-3.9474999999999993,-0.1625000000000001
METHOTREXATE,PD325901,LNCAP,31078.5,-4.9775,-12.3675,-10.3125,-8.0375
METHOTREXATE,PD325901,LOVO,33282.5,-2.435,-5.6499999999999995,-22.810000000000002,-5.445
METHOTREXATE,PD325901,MDAMB436,35614.5,-7.09,-8.93,-11.6525,-2.71
METHOTREXATE,PD325901,MSTO,37730.5,-1.5625,-3.4025000000000003,-11.627500000000001,0.9825
METHOTREXATE,PD325901,NCI-H460,46790.5,-1.445,-4.545,-4.2775,-3.1875000000000004
METHOTREXATE,PD325901,NCIH1650,39974.5,-3.56,-0.7200000000000002,-4.452500000000001,0.5474999999999999
METHOTREXATE,PD325901,NCIH2122,42306.5,0.015000000000000069,-4.4125000000000005,-2.2275,-0.0025000000000000022
METHOTREXATE,PD325901,NCIH23,44566.5,5.522499999999999,3.0824999999999996,1.9925000000000002,5.0775
METHOTREXATE,PD325901,NCIH520,49122.5,5.9750000000000005,4.4174999999999995,-11.8325,2.73
METHOTREXATE,PD325901,OCUBM,51454.5,5.172499999999999,3.0225000000000004,-11.065,3.6325
METHOTREXATE,PD325901,OV90,53786.5,-11.6575,-11.345000000000002,-5.785,-0.1725000000000001
METHOTREXATE,PD325901,OVCAR3,56118.5,-0.92,-0.34750000000000003,-1.1424999999999998,-0.27249999999999985
METHOTREXATE,PD325901,PA1,58450.5,2.615,2.785,1.305,2.585
METHOTREXATE,PD325901,RKO,60782.5,-3.805,-8.350000000000001,-12.1775,-6.025
METHOTREXATE,PD325901,RPMI7951,63074.5,-9.9375,-13.530000000000001,-8.82,-6.2675
METHOTREXATE,PD325901,SK-OV-3,70034.5,-3.1824999999999997,-0.10250000000000004,-0.022499999999999964,2.2475
METHOTREXATE,PD325901,SKMEL30,65370.5,-0.05999999999999994,-0.45499999999999985,-3.1950000000000003,1.9275
METHOTREXATE,PD325901,SKMES1,67702.5,-5.545,-7.852499999999999,-2.0900000000000003,1.415
METHOTREXATE,PD325901,SW-620,72366.5,-6.5825000000000005,-8.020000000000001,-3.8975000000000004,-1.23
METHOTREXATE,PD325901,SW837,74698.5,-3.4225,-4.1325,1.0999999999999999,4.37
METHOTREXATE,PD325901,T-47D,76922.5,1.7275,-4.2075,-10.735,-3.6975000000000002
METHOTREXATE,PD325901,UACC62,79134.5,-6.625,-8.865000000000002,-7.2425,-2.3649999999999998
METHOTREXATE,PD325901,UWB1289,81466.5,-4.9725,-8.675,-15.565000000000001,-3.9050000000000002
METHOTREXATE,PD325901,VCAP,86130.5,2.1975,-1.1025,-12.645,-1.6100000000000003
METHOTREXATE,SORAFENIB,A2058,1158.5,1.55,-2.92,-7.395,-1.765
METHOTREXATE,SORAFENIB,A2780,3478.5,0.8174999999999999,0.23500000000000001,-2.85,2.62
METHOTREXATE,SORAFENIB,A375,5762.5,6.932499999999999,6.055,-0.8950000000000001,9.6725
METHOTREXATE,SORAFENIB,A427,8058.5,-2.7600000000000002,-3.4375,-3.6250000000000004,1.335
METHOTREXATE,SORAFENIB,ES2,19634.5,5.617500000000001,5.2575,-5.2475000000000005,7.827500000000001
METHOTREXATE,SORAFENIB,HCT116,21902.5,-3.8600000000000003,-7.6899999999999995,-11.41,-4.54
METHOTREXATE,SORAFENIB,HT144,24194.5,4.2025,4.3075,-5.5225,5.2675
METHOTREXATE,SORAFENIB,LNCAP,31082.5,-4.09,-7.3425,-5.745,-0.2300000000000001
METHOTREXATE,SORAFENIB,LOVO,33286.5,0.31,-3.1149999999999998,-4.395,-4.235
METHOTREXATE,SORAFENIB,MDAMB436,35618.5,-1.0,-0.7925000000000001,-3.5125,3.255
METHOTREXATE,SORAFENIB,MSTO,90378.5,-5.1625,-13.787500000000001,-12.807500000000001,-10.932500000000001
METHOTREXATE,SORAFENIB,NCI-H460,46794.5,1.6625,0.44,-8.5,2.215
METHOTREXATE,SORAFENIB,NCIH1650,39978.5,2.91,1.1275,-20.81,2.17
METHOTREXATE,SORAFENIB,NCIH2122,42310.5,0.1775,-3.38,-3.235,0.865
METHOTREXATE,SORAFENIB,NCIH23,44570.5,7.44,5.68,-1.4825,7.9799999999999995
METHOTREXATE,SORAFENIB,NCIH520,49126.5,2.7875,1.1575000000000002,-4.29,3.2925000000000004
METHOTREXATE,SORAFENIB,OCUBM,51458.5,-1.38,-2.15,-4.83,2.7975
METHOTREXATE,SORAFENIB,OV90,53790.5,-6.3575,-5.532500000000001,3.945,5.04
METHOTREXATE,SORAFENIB,OVCAR3,56122.5,9.905000000000001,4.4125,-25.12,1.1624999999999999
METHOTREXATE,SORAFENIB,PA1,58454.5,1.6875,1.8875000000000002,-3.5050000000000003,3.1274999999999995
METHOTREXATE,SORAFENIB,RKO,60786.5,2.7925,-1.3875,-3.2375,1.65
METHOTREXATE,SORAFENIB,RPMI7951,63078.5,-2.3825000000000003,-6.437500000000001,-8.3925,-1.6324999999999998
METHOTREXATE,SORAFENIB,SK-OV-3,70038.5,18.4,18.580000000000002,17.38,17.88
METHOTREXATE,SORAFENIB,SKMEL30,65374.5,-8.0,-11.77,-16.689999999999998,-8.7775
METHOTREXATE,SORAFENIB,SKMES1,67706.5,3.7424999999999997,-0.5499999999999998,-4.1899999999999995,1.4899999999999998
METHOTREXATE,SORAFENIB,SW-620,72370.5,1.8399999999999999,-1.2625,-6.397499999999999,2.0175
METHOTREXATE,SORAFENIB,SW837,74702.5,3.1075,-0.25750000000000006,-3.2625,3.9924999999999997
METHOTREXATE,SORAFENIB,T-47D,76926.5,-2.0675,-1.845,-8.8675,3.8325
METHOTREXATE,SORAFENIB,UACC62,79138.5,1.4649999999999999,1.9025,-2.5175,4.6425
METHOTREXATE,SORAFENIB,UWB1289,81470.5,-5.975,-7.1175,-4.7275,1.6124999999999998
METHOTREXATE,SORAFENIB,VCAP,86134.5,1.4175,2.225,-5.240000000000001,2.9099999999999997
METHOTREXATE,SUNITINIB,A2058,1162.5,-2.5225,-5.5600000000000005,-7.9975,-1.4225
METHOTREXATE,SUNITINIB,A2780,3482.5,-0.14,-1.715,-5.5249999999999995,0.7875000000000001
METHOTREXATE,SUNITINIB,A375,5766.5,-2.295,-2.6775,-7.404999999999999,2.2874999999999996
METHOTREXATE,SUNITINIB,A427,8062.5,-2.8625,-3.9924999999999997,-5.81,1.3175
METHOTREXATE,SUNITINIB,ES2,19638.5,0.595,1.0274999999999999,-8.0,2.3000000000000003
METHOTREXATE,SUNITINIB,HCT116,21906.5,-4.9625,-10.214999999999998,-14.235000000000001,-6.69
METHOTREXATE,SUNITINIB,HT144,24198.5,-3.1325000000000003,-0.02499999999999991,-4.18,1.2100000000000002
METHOTREXATE,SUNITINIB,LNCAP,31086.5,-6.965,-10.717500000000001,-11.2375,-3.1000000000000005
METHOTREXATE,SUNITINIB,LOVO,33290.5,2.7024999999999997,0.23000000000000004,-1.0025000000000002,0.39999999999999997
METHOTREXATE,SUNITINIB,MDAMB436,35622.5,-11.995000000000001,-15.145,-10.774999999999999,-4.945
METHOTREXATE,SUNITINIB,MSTO,90382.5,-7.967500000000001,-13.37,-17.925,-8.92
METHOTREXATE,SUNITINIB,NCI-H460,46798.5,-2.955,-4.7825,-5.970000000000001,-3.4724999999999997
METHOTREXATE,SUNITINIB,NCIH1650,39982.5,-6.175000000000001,-3.545,-11.9125,-1.47
METHOTREXATE,SUNITINIB,NCIH2122,42314.5,1.9975,-5.5424999999999995,-14.682500000000001,-3.53
METHOTREXATE,SUNITINIB,NCIH23,44574.5,3.9749999999999996,1.8050000000000002,-7.44,3.7225
METHOTREXATE,SUNITINIB,NCIH520,49130.5,2.18,-1.0175,-9.102500000000001,0.5175
METHOTREXATE,SUNITINIB,OCUBM,51462.5,-2.295,-4.195,-4.275,0.08499999999999999
METHOTREXATE,SUNITINIB,OV90,53794.5,-7.765000000000001,-11.51,-15.602500000000001,-9.84
METHOTREXATE,SUNITINIB,OVCAR3,56126.5,1.0475,0.5575,-2.4975,-0.7875
METHOTREXATE,SUNITINIB,PA1,58458.5,6.9325,6.9275,-1.6400000000000001,7.3500000000000005
METHOTREXATE,SUNITINIB,RKO,60790.5,-4.03,-7.795,-9.565,-4.3725
METHOTREXATE,SUNITINIB,RPMI7951,63082.5,-2.435,-7.3625,41.7225,-6.872499999999999
METHOTREXATE,SUNITINIB,SK-OV-3,70042.5,3.665,5.1825,5.952500000000001,6.9725
METHOTREXATE,SUNITINIB,SKMEL30,65378.5,-1.0575000000000003,-8.367500000000001,-21.497500000000002,-8.6975
METHOTREXATE,SUNITINIB,SKMES1,67710.5,-9.95,-15.805,-17.475,-9.75
METHOTREXATE,SUNITINIB,SW-620,72374.5,-5.9,-8.2225,-10.329999999999998,-2.78
METHOTREXATE,SUNITINIB,SW837,74706.5,-9.27,-12.9025,-13.5025,-6.2025
METHOTREXATE,SUNITINIB,T-47D,76930.5,1.8275,-3.3375,-52.5325,-4.8325000000000005
METHOTREXATE,SUNITINIB,UACC62,79142.5,-0.7825,-3.7175000000000002,-9.3275,-2.16
METHOTREXATE,SUNITINIB,UWB1289,81474.5,-5.625,-7.435,-12.005,1.505
METHOTREXATE,SUNITINIB,VCAP,86138.5,-8.469999999999999,-16.7075,-23.45,-15.0
METHOTREXATE,TEMOZOLOMIDE,A2058,1166.5,-7.825,-12.049999999999999,-10.585,-5.955
METHOTREXATE,TEMOZOLOMIDE,A2780,3486.5,9.5675,6.28,2.2175000000000002,6.1975
METHOTREXATE,TEMOZOLOMIDE,A375,5770.5,1.8749999999999998,-0.8474999999999999,-7.7675,0.6625
METHOTREXATE,TEMOZOLOMIDE,A427,8066.5,-6.3725,-10.677499999999998,-12.2425,-6.0
METHOTREXATE,TEMOZOLOMIDE,ES2,19642.5,-2.8125,-5.209999999999999,-10.7525,-2.2
METHOTREXATE,TEMOZOLOMIDE,HCT116,64930.2,-1.0179999999999996,-8.892000000000001,-28.068,-10.588
METHOTREXATE,TEMOZOLOMIDE,HT144,24202.5,1.2125,0.007500000000000062,-98.0775,-1.1400000000000001
METHOTREXATE,TEMOZOLOMIDE,LNCAP,31090.5,-4.7575,-12.635,-48.7,-12.13
METHOTREXATE,TEMOZOLOMIDE,LOVO,33294.5,0.855,-3.94,-3.73,-3.785
METHOTREXATE,TEMOZOLOMIDE,MDAMB436,35626.5,-3.4850000000000003,-6.2875,-32.0375,-4.5075
METHOTREXATE,TEMOZOLOMIDE,MSTO,37734.5,-0.49749999999999994,-5.842499999999999,-9.639999999999999,-4.430000000000001
METHOTREXATE,TEMOZOLOMIDE,NCI-H460,92473.8,1.034,0.47600000000000015,-18.056,0.11400000000000006
METHOTREXATE,TEMOZOLOMIDE,NCIH1650,39986.5,0.3275,-0.48750000000000004,-91.23750000000001,-6.5925
METHOTREXATE,TEMOZOLOMIDE,NCIH2122,42318.5,3.8949999999999996,-1.3325,-3.0949999999999998,0.21500000000000005
METHOTREXATE,TEMOZOLOMIDE,NCIH23,83796.2,1.732,2.75,-13.514,3.404
METHOTREXATE,TEMOZOLOMIDE,NCIH520,49134.5,1.3649999999999998,-1.93,-2.565,-1.8025000000000002
METHOTREXATE,TEMOZOLOMIDE,OCUBM,51466.5,2.63,-1.8599999999999999,-36.31,-5.68
METHOTREXATE,TEMOZOLOMIDE,OV90,53798.5,-8.7775,-6.692500000000001,-9.9625,-3.5424999999999995
METHOTREXATE,TEMOZOLOMIDE,OVCAR3,56130.5,6.975,5.345000000000001,-33.4075,1.9225
METHOTREXATE,TEMOZOLOMIDE,PA1,58462.5,5.595,0.5475,-41.2375,0.3225
METHOTREXATE,TEMOZOLOMIDE,RKO,60794.5,-2.09,-9.4525,-18.509999999999998,-9.6575
METHOTREXATE,TEMOZOLOMIDE,RPMI7951,63086.5,-5.175000000000001,-7.85,-8.36,-4.744999999999999
METHOTREXATE,TEMOZOLOMIDE,SK-OV-3,87139.2,3.3520000000000003,0.388,-13.801999999999998,-5.6659999999999995
METHOTREXATE,TEMOZOLOMIDE,SKMEL30,65382.5,-0.017499999999999905,-1.7275000000000003,-44.197500000000005,-4.7299999999999995
METHOTREXATE,TEMOZOLOMIDE,SKMES1,67714.5,-8.6375,-17.46,-39.855,-15.004999999999999
METHOTREXATE,TEMOZOLOMIDE,SW-620,109121.8,-6.356,-10.202,-14.418000000000001,-5.7700000000000005
METHOTREXATE,TEMOZOLOMIDE,SW837,74710.5,-4.4625,-14.814999999999998,-53.395,-18.725
METHOTREXATE,TEMOZOLOMIDE,T-47D,121133.8,0.99,-8.31,-57.924,-19.454
METHOTREXATE,TEMOZOLOMIDE,UACC62,93335.6,-2.806,-4.396,-16.074,-4.362
METHOTREXATE,TEMOZOLOMIDE,UWB1289,81478.5,-8.46,-12.920000000000002,-17.677500000000002,-6.735
METHOTREXATE,TEMOZOLOMIDE,VCAP,86142.5,-8.057500000000001,-17.7125,-38.07,-20.4525
METHOTREXATE,ZOLINZA,A2058,1170.5,-5.175,-10.34,-12.407500000000002,-8.7325
METHOTREXATE,ZOLINZA,A2780,3490.5,0.8074999999999999,-1.7075,-4.7325,-0.395
METHOTREXATE,ZOLINZA,A375,89702.5,-5.205,-8.352500000000001,-13.722499999999998,-6.2924999999999995
METHOTREXATE,ZOLINZA,A427,8070.5,-1.9425,-3.4699999999999998,-3.0999999999999996,1.8325
METHOTREXATE,ZOLINZA,ES2,19646.5,-0.7225,-1.3849999999999998,-9.865,-0.10500000000000001
METHOTREXATE,ZOLINZA,HCT116,89886.5,-5.5475,-9.8325,-12.270000000000001,-7.1025
METHOTREXATE,ZOLINZA,HT144,24206.5,1.1525,0.007500000000000062,-6.9350000000000005,0.275
METHOTREXATE,ZOLINZA,LNCAP,31094.5,-6.2975,-11.69,-9.087499999999999,-4.364999999999999
METHOTREXATE,ZOLINZA,LOVO,33298.5,-1.06,-5.385,-7.994999999999999,-5.135
METHOTREXATE,ZOLINZA,MDAMB436,35630.5,-7.495000000000001,-9.06,-9.727500000000001,-2.7925
METHOTREXATE,ZOLINZA,MSTO,37738.5,5.41,3.1550000000000002,3.66,8.16
METHOTREXATE,ZOLINZA,NCI-H460,46806.5,-3.0275000000000003,-7.625,-12.525,-6.13
METHOTREXATE,ZOLINZA,NCIH1650,39990.5,-3.2875,-0.6724999999999999,-4.81,1.4
METHOTREXATE,ZOLINZA,NCIH2122,42322.5,-1.3525,-4.895,-2.9175,0.24250000000000008
METHOTREXATE,ZOLINZA,NCIH23,44582.5,2.1225,0.6399999999999999,-4.16,1.85
METHOTREXATE,ZOLINZA,NCIH520,49138.5,3.26,1.8775,-2.3449999999999998,2.285
METHOTREXATE,ZOLINZA,OCUBM,51470.5,-0.45499999999999996,-1.8624999999999998,-5.39,0.765
METHOTREXATE,ZOLINZA,OV90,53802.5,-13.927499999999998,-10.305,-4.705,-3.7
METHOTREXATE,ZOLINZA,OVCAR3,56134.5,1.34,0.82,-2.685,0.9650000000000001
METHOTREXATE,ZOLINZA,PA1,58466.5,1.6575,0.9175,-4.4975000000000005,1.015
METHOTREXATE,ZOLINZA,RKO,60798.5,-6.335,-11.684999999999999,-12.254999999999999,-8.617500000000001
METHOTREXATE,ZOLINZA,RPMI7951,63090.5,-3.2600000000000002,-6.2675,-8.0975,-2.6775
METHOTREXATE,ZOLINZA,SK-OV-3,70050.5,2.6550000000000002,4.6425,5.1925,6.055000000000001
METHOTREXATE,ZOLINZA,SKMEL30,65386.5,2.8600000000000003,3.4849999999999994,-16.060000000000002,1.085
METHOTREXATE,ZOLINZA,SKMES1,67718.5,-2.3875,-5.32,-6.765000000000001,-1.2574999999999998
METHOTREXATE,ZOLINZA,SW-620,72382.5,1.5625,-1.2425000000000002,-4.6275,-0.77
METHOTREXATE,ZOLINZA,SW837,74714.5,3.1500000000000004,1.5575,-1.6824999999999999,3.4625000000000004
METHOTREXATE,ZOLINZA,T-47D,76938.5,1.7474999999999998,0.4650000000000003,-2.1399999999999997,3.1100000000000003
METHOTREXATE,ZOLINZA,UACC62,79150.5,0.8725,0.15,-3.305,1.6400000000000001
METHOTREXATE,ZOLINZA,UWB1289,81482.5,-7.3425,-11.584999999999999,-12.127500000000001,-5.915
METHOTREXATE,ZOLINZA,VCAP,86146.5,-7.2825,-11.7575,-11.78,-7.140000000000001
MITOMYCINE,ABT-888,A2058,1174.5,13.6925,13.325000000000001,-8.75,13.135
MITOMYCINE,ABT-888,A2780,3494.5,5.355,6.0475,2.275,7.73
MITOMYCINE,ABT-888,A375,5774.5,10.2625,10.0625,-36.19,7.3900000000000015
MITOMYCINE,ABT-888,A427,8074.5,2.0475000000000003,2.8725,-14.297500000000001,8.3025
MITOMYCINE,ABT-888,ES2,19650.5,9.8375,8.27,-42.2,6.855
MITOMYCINE,ABT-888,HCT116,21914.5,5.6775,4.1225000000000005,-33.2575,5.0825
MITOMYCINE,ABT-888,HT144,24210.5,-1.4625000000000001,-2.275,-51.325,-1.8424999999999998
MITOMYCINE,ABT-888,LNCAP,31098.5,-5.8925,-8.022499999999999,-36.3675,-2.9775
MITOMYCINE,ABT-888,LOVO,33302.5,6.904999999999999,8.467500000000001,-41.9575,11.98
MITOMYCINE,ABT-888,MDAMB436,35634.5,-3.8925,-4.2375,-0.35750000000000004,0.5800000000000001
MITOMYCINE,ABT-888,MSTO,37742.5,11.477500000000001,8.4525,-25.3475,12.0825
MITOMYCINE,ABT-888,NCI-H460,46810.5,1.52,0.48750000000000004,-15.474999999999998,1.24
MITOMYCINE,ABT-888,NCIH1650,39994.5,3.3875,4.5649999999999995,-1.775,7.602499999999999
MITOMYCINE,ABT-888,NCIH2122,42326.5,15.85,15.185,-12.690000000000001,18.54
MITOMYCINE,ABT-888,NCIH23,44586.5,5.380000000000001,4.955,-30.755000000000003,5.525
MITOMYCINE,ABT-888,NCIH520,49142.5,1.7125,1.2175,-32.169999999999995,1.6275
MITOMYCINE,ABT-888,OCUBM,51474.5,1.625,2.3775000000000004,-14.415,2.9374999999999996
MITOMYCINE,ABT-888,OV90,53806.5,-0.21750000000000003,-1.7675,-32.277499999999996,-1.9474999999999998
MITOMYCINE,ABT-888,OVCAR3,56138.5,-1.2550000000000001,1.86,1.395,4.47
MITOMYCINE,ABT-888,PA1,58470.5,17.439999999999998,17.6025,-21.57,17.5675
MITOMYCINE,ABT-888,RKO,60802.5,-2.0599999999999996,-2.9575000000000005,-35.0675,0.42250000000000004
MITOMYCINE,ABT-888,RPMI7951,63094.5,1.095,-0.36249999999999993,-29.13,-0.8575
MITOMYCINE,ABT-888,SK-OV-3,70054.5,2.24,0.9275,-32.2425,-0.44499999999999984
MITOMYCINE,ABT-888,SKMEL30,65390.5,0.24499999999999997,-2.5325,-31.654999999999998,-3.645
MITOMYCINE,ABT-888,SKMES1,67722.5,0.43,0.16749999999999993,-33.59,0.76
MITOMYCINE,ABT-888,SW-620,72386.5,12.61,12.11,-16.62,11.872499999999999
MITOMYCINE,ABT-888,SW837,74718.5,-2.91,-3.1324999999999994,-29.9725,-0.03749999999999987
MITOMYCINE,ABT-888,T-47D,76942.5,4.177499999999999,2.5375000000000005,-27.12,0.5749999999999998
MITOMYCINE,ABT-888,UACC62,79154.5,3.3475,2.34,-31.83,-0.30000000000000004
MITOMYCINE,ABT-888,UWB1289,81486.5,-2.2474999999999996,-2.6799999999999997,-4.105,-0.19499999999999995
MITOMYCINE,ABT-888,VCAP,86150.5,3.38,3.1275000000000004,-32.262499999999996,-2.4275
MITOMYCINE,AZD1775,A2058,1178.5,14.65,13.2225,12.755,18.9825
MITOMYCINE,AZD1775,A2780,3498.5,7.82,6.647500000000001,7.532500000000001,13.9025
MITOMYCINE,AZD1775,A375,5778.5,11.6775,11.807500000000001,11.04,16.885
MITOMYCINE,AZD1775,A427,8078.5,10.7025,9.3525,6.33,14.1225
MITOMYCINE,AZD1775,ES2,19654.5,11.607499999999998,11.4625,6.6975,13.42
MITOMYCINE,AZD1775,HCT116,21918.5,5.895,6.035,4.105,9.74
MITOMYCINE,AZD1775,HT144,24214.5,1.105,2.4425,1.565,7.4725
MITOMYCINE,AZD1775,LNCAP,31102.5,-4.41,-5.865,1.66,6.2375
MITOMYCINE,AZD1775,LOVO,33306.5,3.75,2.9050000000000002,5.115,11.13
MITOMYCINE,AZD1775,MDAMB436,35638.5,-0.1775,0.38000000000000006,6.6925,9.51
MITOMYCINE,AZD1775,MSTO,37746.5,9.0675,7.922499999999999,5.262499999999999,11.932500000000001
MITOMYCINE,AZD1775,NCI-H460,46814.5,2.3175,0.7575,-1.345,2.3649999999999998
MITOMYCINE,AZD1775,NCIH1650,39998.5,7.847500000000001,8.695,8.434999999999999,14.5975
MITOMYCINE,AZD1775,NCIH2122,42330.5,15.557500000000001,14.287499999999998,12.149999999999999,16.71
MITOMYCINE,AZD1775,NCIH23,44590.5,6.574999999999999,5.5175,4.765,10.905
MITOMYCINE,AZD1775,NCIH520,49146.5,1.1400000000000001,0.7375,-0.8124999999999999,5.8475
MITOMYCINE,AZD1775,OCUBM,51478.5,14.6575,14.5625,13.8325,19.8925
MITOMYCINE,AZD1775,OV90,53810.5,-5.46,-6.335,-6.965,-0.8049999999999999
MITOMYCINE,AZD1775,OVCAR3,56142.5,16.9675,16.395,16.04,26.41
MITOMYCINE,AZD1775,PA1,58474.5,15.532499999999999,15.7375,12.0125,19.22
MITOMYCINE,AZD1775,RKO,60806.5,-0.7349999999999999,-1.4450000000000003,-3.065,3.125
MITOMYCINE,AZD1775,RPMI7951,63098.5,3.5275,2.9275,2.0775,8.1875
MITOMYCINE,AZD1775,SK-OV-3,70058.5,4.970000000000001,4.705,2.0675,10.295
MITOMYCINE,AZD1775,SKMEL30,65394.5,12.5775,13.295,8.585,14.655
MITOMYCINE,AZD1775,SKMES1,67726.5,2.1725,1.0725,-2.04,4.5024999999999995
MITOMYCINE,AZD1775,SW-620,72390.5,6.1775,4.495,7.34,12.61
MITOMYCINE,AZD1775,SW837,74722.5,-0.855,0.21500000000000002,6.319999999999999,10.834999999999999
MITOMYCINE,AZD1775,T-47D,76946.5,-2.105,1.0925,1.5274999999999999,4.5825
MITOMYCINE,AZD1775,UACC62,79158.5,4.1775,5.1425,6.5875,10.9925
MITOMYCINE,AZD1775,UWB1289,81490.5,-4.785,-5.995,-1.7075,2.4749999999999996
MITOMYCINE,AZD1775,VCAP,86154.5,8.605,8.5225,1.93,8.995
MITOMYCINE,BEZ-235,A2058,1182.5,4.2075000000000005,3.5175,10.435,13.165
MITOMYCINE,BEZ-235,A2780,3502.5,3.7525000000000004,3.0825,6.095000000000001,10.135
MITOMYCINE,BEZ-235,A375,5782.5,17.105,16.307499999999997,18.1225,21.697499999999998
MITOMYCINE,BEZ-235,A427,8082.5,9.6425,9.3575,12.29,15.9375
